Symbol,Company,Call Time,EPS Estimate,avg_volume,iv30_rv30,ts_slope_0_45,expected_move
XOM,Exxon Mobil Corp,Q1 2025  Earnings Release,BMO,True,False,False,3.89%
CVX,Chevron Corp,Q1 2025  Earnings Release,BMO,True,False,False,4.17%
RYDAF,Shell PLC,Q1 2025  Earnings Release,TAS,,,,
SHEL,Shell PLC,Q1 2025  Earnings Release,TAS,True,False,False,3.21%
ETN,Eaton Corporation PLC,Q1 2025  Earnings Release,BMO,True,False,False,4.06%
CI,Cigna Group,Q1 2025  Earnings Release,BMO,True,False,False,2.87%
RBSPF,Natwest Group PLC,Q1 2025 NatWest Group PLC Earnings Release,TAS,,,,
APO,Apollo Global Management Inc,Q1 2025  Earnings Release,BMO,True,False,False,4.18%
ITOCF,Itochu Corp,Full Year 2025  Earnings Release,TAS,,,,
MSBHF,Mitsubishi Corp,Full Year 2025  Earnings Release,TAS,,,,
MTSUY,Mitsubishi Corp,Full Year 2025  Earnings Release,TAS,,,,
ITOCY,Itochu Corp,Full Year 2025  Earnings Release,TAS,,,,
ING,ING Groep NV,Q1 2025  Earnings Release,TAS,True,False,True,13.67%
CTA-PB,EIDP Inc,Q1 2025  Earnings Release,TNS,,,,
INGVF,ING Groep NV,Q1 2025  Earnings Release,TAS,,,,
AMX,America Movil SAB de CV,Q1 2025  Earnings Release,AMC,True,False,False,4.66%
SCBFF,Standard Chartered PLC,Q1 2025  Earnings Release,TAS,,,,
CTA-PA,EIDP Inc,Q1 2025  Earnings Release,TNS,,,,
AMXOF,America Movil SAB de CV,Q1 2025  Earnings Release,AMC,,,,
BFFAF,BASF SE,Q1 2025  Earnings Release,TAS,,,,
BASFY,BASF SE,Q1 2025  Earnings Release,TAS,,,,
NWG,Natwest Group PLC,Q1 2025 NatWest Group PLC Earnings Release,TAS,True,False,False,6.14%
APO-PA,Apollo Global Management Inc,Q1 2025  Earnings Release,BMO,,,,
IMO,Imperial Oil Ltd,Q1 2025  Earnings Release,BMO,False,False,False,5.45%
DNKEY,Danske Bank A/S,Q1 2025  Earnings Release,TAS,,,,
DNSKF,Danske Bank A/S,Q1 2025  Earnings Release,TAS,,,,
SCBFY,Standard Chartered PLC,Q1 2025  Earnings Release,TAS,,,,
MARUF,Marubeni Corp,Full Year 2025  Earnings Release,TNS,,,,
MARUY,Marubeni Corp,Full Year 2025  Earnings Release,TNS,,,,
CQP,Cheniere Energy Partners LP,Q1 2025  Earnings Release,BMO,False,False,False,5.19%
DD,DuPont de Nemours Inc,Q1 2025 Dupont De Nemours Inc Earnings Release,TAS,True,False,False,2.48%
CBOE,Cboe Global Markets Inc,Q1 2025  Earnings Release,BMO,False,False,False,0.82%
TROW,T Rowe Price Group Inc,Q1 2025  Earnings Release,TAS,True,False,False,4.53%
BNDSY,Banco de Sabadell SA,Q1 2025  Earnings Release,TAS,,,,
GPFOF,Grupo Financiero Inbursa SAB de CV,Q1 2025  Earnings Release,TNS,,,,
BNDSF,Banco de Sabadell SA,Q1 2025  Earnings Release,TAS,,,,
BEP,Brookfield Renewable Partners LP,Q1 2025  Earnings Release,BMO,False,False,False,4.81%
MXGBF,Molson Coors Canada Inc,Q1 2025  Earnings Release,AMC,,,,
PSORF,Pearson PLC,Q1 2025  Earnings Release,TAS,,,,
PSO,Pearson PLC,Q1 2025  Earnings Release,TAS,False,True,True,19.19%
WLK,Westlake Corp,Q1 2025  Earnings Release,BMO,False,False,True,8.36%
BEN,Franklin Resources Inc,Q2 2025  Earnings Release,TAS,True,False,False,4.61%
WJRYF,West Japan Railway Co,Full Year 2025  Earnings Release,TAS,,,,
GBLBY,Groep Brussel Lambert NV,Q1 2025  Earnings Release,TAS,,,,
WJRYY,West Japan Railway Co,Full Year 2025  Earnings Release,TAS,,,,
GBLBF,Groep Brussel Lambert NV,Q1 2025  Earnings Release,TAS,,,,
NVT,nVent Electric PLC,Q1 2025  Earnings Release,BMO,True,False,False,7.08%
MGA,Magna International Inc,Q1 2025  Earnings Release,BMO,True,False,False,6.85%
MTHRY,M3 Inc,Full Year 2025  Earnings Release,TAS,,,,
AZRGF,Azrieli Group Ltd,Q1 2025  Earnings Release,TNS,,,,
MTHRF,M3 Inc,Full Year 2025  Earnings Release,TAS,,,,
GCHOY,Grupo Nutresa SA,Q1 2025  Earnings Release,AMC,,,,
SMNUF,Sarana Menara Nusantara Tbk PT,Q1 2025  Earnings Release,TNS,,,,
FLR,Fluor Corp,Q1 2025  Earnings Release,BMO,True,False,False,7.26%
