Symbol,Company,Call Time,EPS Estimate,avg_volume,iv30_rv30,ts_slope_0_45,expected_move
BCOW,1895 Bancorp of Wisconsin Inc,Q4 2024  Earnings Release,TAS,,,,
MILFF,1CM Inc,Q2 2025  Earnings Release,TNS,,,,
ALPP,Alpine 4 Holdings Inc,Q1 2024  Earnings Release,AMC,,,,
ALPP,Alpine 4 Holdings Inc,Q2 2024  Earnings Release,AMC,,,,
BGFV,Big 5 Sporting Goods Corp,Q1 2025  Earnings Release,AMC,,,,
AAGRY,Astra Agro Lestari Tbk PT,Q1 2025  Earnings Release,TNS,,,,
AAT,American Assets Trust Inc,Q1 2025  Earnings Release,AMC,False,True,True,13.72%
ABG,Asbury Automotive Group Inc,Q1 2025  Earnings Release,BMO,False,False,False,7.77%
ACEHF,Aspirasi Hidup Indonesia Tbk PT,Q1 2025  Earnings Release,TNS,,,,
ACGBF,Agricultural Bank of China Ltd,Q1 2025  Earnings Release,TNS,,,,
ACGBY,Agricultural Bank of China Ltd,Q1 2025  Earnings Release,TNS,,,,
ACGL,Arch Capital Group Ltd,Q1 2025  Earnings Release,AMC,True,False,False,5.88%
ACGLN,Arch Capital Group Ltd,Q1 2025  Earnings Release,AMC,,,,
ACGLO,Arch Capital Group Ltd,Q1 2025  Earnings Release,AMC,,,,
ACMR,ACM Research Inc,Preliminary Q1 2025  Earnings Release,BMO,True,False,True,16.67%
ACRG,American Clean Resources Group Inc,Q2 2024  Earnings Release,AMC,,,,
ADDDF,Adidas AG,Q1 2025  Earnings Release,TAS,,,,
ADDYY,Adidas AG,Q1 2025  Earnings Release,TAS,,,,
ADOOY,Alamtri Resources Indonesia Tbk PT,Q1 2025  Earnings Release,TNS,,,,
ADPPF,Adler Group SA,Q4 2024  Earnings Release,TAS,,,,
ADXS,Ayala Pharmaceuticals Inc,Q4 2024  Earnings Release,AMC,,,,
AEDFF,Aedifica NV,Q1 2025  Earnings Release,TAS,,,,
AEPLF,Anglo-Eastern Plantations PLC,Full Year 2024  Earnings Release,BMO,,,,
AEXFF,Aminex PLC,Full Year 2024  Earnings Release,TNS,,,,
AEYE,AudioEye Inc,Q1 2025  Earnings Release,AMC,False,False,False,14.48%
AFBI,Affinity Bancshares Inc,Q1 2025  Earnings Release,TNS,,,,
AFMD,Affimed NV,Q4 2024  Earnings Release,BMO,False,True,False,117.23%
AFMJF,Alphamin Resources Corp,Q1 2025  Earnings Release,TNS,,,,
AGAE,Allied Gaming & Entertainment Inc,Q4 2024  Earnings Release,AMC,,,,
AGSS,AmeriGuard Security Services Inc,Q4 2024  Earnings Release,TNS,,,,
AHCHF,Anhui Conch Cement Co Ltd,Q1 2025  Earnings Release,TNS,,,,
AHCHY,Anhui Conch Cement Co Ltd,Q1 2025  Earnings Release,TNS,,,,
AHNMF,Archon Minerals Ltd,Q3 2025  Earnings Release,AMC,,,,
AICAF,Air China Ltd,Q1 2025  Earnings Release,TNS,,,,
AIRYY,Air China Ltd,Q1 2025  Earnings Release,TNS,,,,
AJIA,Ajia Innogroup Holdings Ltd,Q2 2024  Earnings Release,BMO,,,,
AJIA,Ajia Innogroup Holdings Ltd,Q4 2024  Earnings Release,TNS,,,,
AKO-A,Embotelladora Andina SA,Q1 2025  Earnings Release,TNS,,,,
AKO-B,Embotelladora Andina SA,Q1 2025  Earnings Release,TNS,,,,
AKOM,Aerkomm Inc,Q3 2024  Earnings Release,AMC,,,,
AKR,Acadia Realty Trust,Q1 2025  Earnings Release,AMC,False,True,False,12.64%
AKTSQ,Akoustis Technologies Inc,Q2 2025  Earnings Release,BMO,False,False,False,1075000.03%
ALFVF,Alfa Laval AB,Q1 2025  Earnings Release,TAS,,,,
ALFVY,Alfa Laval AB,Q1 2025  Earnings Release,TAS,,,,
ALLGF,Allego NV,Q4 2024  Earnings Release,BMO,,,,
ALNPF,ANA Holdings Inc,Full Year 2025  Earnings Release,TAS,,,,
ALNPY,ANA Holdings Inc,Full Year 2025  Earnings Release,TAS,,,,
ALPIB,Alpine Banks of Colorado,Q1 2025  Earnings Release,TNS,,,,
ALSSF,Alsea SAB de CV,Q1 2025  Earnings Release,AMC,,,,
ALTPF,Altiplano Metals Inc,Q4 2024  Earnings Release,TNS,,,,
AMDUF,Amundi SA,Q1 2025  Earnings Release,TAS,,,,
AMIH,American International Holdings Corp,Q1 2025  Earnings Release,AMC,,,,
AMRN,Amarin Corporation PLC,Q1 2025  Earnings Release,BMO,False,False,False,20.83%
AMSF,Amerisafe Inc,Q1 2025  Earnings Release,AMC,False,True,False,10.25%
AMT,American Tower Corp,Q1 2025  Earnings Release,TAS,True,False,False,4.36%
AMX,America Movil SAB de CV,Q1 2025  Earnings Release,AMC,True,False,False,5.84%
AMXOF,America Movil SAB de CV,Q1 2025  Earnings Release,AMC,,,,
ANGGF,Angang Steel Co Ltd,Q1 2025  Earnings Release,TNS,,,,
ANL,Adlai Nortye Ltd,Full Year 2024  Earnings Release,BMO,,,,
AOREF,American Overseas Group Ltd,Q4 2024  Earnings Release,TNS,,,,
AOS,A O Smith Corp,Q1 2025  Earnings Release,BMO,True,False,False,5.52%
APAM,Artisan Partners Asset Management Inc,Q1 2025  Earnings Release,TAS,False,False,False,9.99%
APM,Aptorum Group Ltd,Full Year 2024  Earnings Release,TNS,,,,
ARAT,Arax Holdings Corp.,Q4 2024  Earnings Release,AMC,,,,
ARAT,Arax Holdings Corp.,Q1 2025  Earnings Release,AMC,,,,
ARBTF,Argo Gold Inc,Q4 2024  Earnings Release,TNS,,,,
ARCB,ArcBest Corp,Q1 2025  Earnings Release,BMO,False,False,False,10.18%
ARCC,Ares Capital Corp,Q1 2025  Earnings Release,BMO,True,False,False,4.11%
ARDS,Aridis Pharmaceuticals Inc,Q2 2024  Earnings Release,AMC,,,,
AREC,American Resources Corp,Q4 2024  Earnings Release,TNS,True,False,True,36.44%
AROAF,Aroa Biosurgery Ltd,Full Year 2025  Earnings Release,TNS,,,,
AROC,Archrock Inc,Q1 2025  Earnings Release,TNS,False,False,False,9.22%
AROW,Arrow Financial Corp,Q1 2025  Earnings Release,BMO,False,True,False,17.19%
ARRJF,Arjo AB (publ),Q1 2025  Earnings Release,TAS,,,,
ARTH,Arch Therapeutics Inc,Q4 2024  Earnings Release,BMO,,,,
ARTHQ,Arch Therapeutics Inc,Q4 2024  Earnings Release,BMO,,,,
ARWMF,Arrow Minerals Ltd,Q1 2025  Earnings Release,TNS,,,,
ASBFF,Associated British Foods PLC,Half Year 2025  Earnings Release,TNS,,,,
ASBFY,Associated British Foods PLC,Half Year 2025  Earnings Release,TNS,,,,
ASDZF,Arctic Star Exploration Corp,Q4 2024  Earnings Release,TNS,,,,
ASGOF,Asante Gold Corp,Q4 2025  Earnings Release,BMO,,,,
