Symbol,Company,Call Time,EPS Estimate,avg_volume,iv30_rv30,ts_slope_0_45,expected_move
MSFT,Microsoft Corp,Q3 2025  Earnings Release,AMC,True,False,True,4.53%
META,Meta Platforms Inc,Q1 2025  Earnings Release,AMC,True,False,True,7.32%
SSNLF,Samsung Electronics Co Ltd,Q1 2025  Earnings Release,TNS,,,,
QCOM,Qualcomm Inc,Q2 2025  Earnings Release,AMC,True,False,True,6.06%
CAT,Caterpillar Inc,Q1 2025  Earnings Release,TAS,True,False,False,2.43%
EADSY,Airbus SE,Q1 2025  Earnings Release,AMC,,,,
TTFNF,TotalEnergies SE,Q1 2025  Earnings Release,TAS,,,,
EADSF,Airbus SE,Q1 2025  Earnings Release,AMC,,,,
TTE,TotalEnergies SE,Q1 2025  Earnings Release,TAS,True,False,False,5.06%
ADP,Automatic Data Processing Inc,Q3 2025  Earnings Release,BMO,True,False,False,1.83%
BCDRF,Banco Santander SA,Q1 2025  Earnings Release,TAS,,,,
IBDRY,Iberdrola SA,Q1 2025  Earnings Release,BMO,,,,
IBDSF,Iberdrola SA,Q1 2025  Earnings Release,BMO,,,,
SAN,Banco Santander SA,Q1 2025  Earnings Release,TAS,True,False,False,5.39%
UBS,UBS Group AG,Q1 2025  Earnings Release,TAS,True,False,False,2.92%
KLAC,KLA Corp,Q3 2025  Earnings Release,AMC,False,False,False,8.15%
TT,Trane Technologies PLC,Q1 2025  Earnings Release,BMO,True,False,False,5.25%
GLAXF,GSK plc,Q1 2025  Earnings Release,TAS,,,,
EQIX,Equinix Inc,Q1 2025  Earnings Release,AMC,False,False,False,6.08%
GSK,GSK plc,Q1 2025  Earnings Release,TAS,True,False,False,1.76%
AAGIY,AIA Group Ltd,Q1 2025  Earnings Release,TNS,,,,
AAIGF,AIA Group Ltd,Q1 2025  Earnings Release,TNS,,,,
TOELY,Tokyo Electron Ltd,Full Year 2025  Earnings Release,TAS,,,,
ITW,Illinois Tool Works Inc,Q1 2025  Earnings Release,TAS,False,False,False,3.89%
TOELF,Tokyo Electron Ltd,Full Year 2025  Earnings Release,TAS,,,,
CP,Canadian Pacific Kansas City Ltd,Q1 2025  Earnings Release,AMC,True,False,False,5.9%
MBGAF,Mercedes-Benz Group AG,Q1 2025  Earnings Release,TAS,,,,
MBGYY,Mercedes-Benz Group AG,Q1 2025  Earnings Release,TAS,,,,
MITSF,Mitsui & Co Ltd,Full Year 2025  Earnings Release,TAS,,,,
STOHF,Equinor ASA,Q1 2025  Earnings Release,TAS,,,,
EQNR,Equinor ASA,Q1 2025  Earnings Release,TAS,True,False,False,6.87%
CTA-PB,EIDP Inc,Q1 2025  Earnings Release,TNS,,,,
AFL,Aflac Inc,Q1 2025  Earnings Release,AMC,True,False,True,4.21%
VLKPF,Volkswagen AG,Q1 2025  Earnings Release,BMO,,,,
MITSY,Mitsui & Co Ltd,Full Year 2025  Earnings Release,TAS,,,,
MNST,Monster Beverage Corp,Q1 2025  Earnings Release,TNS,True,False,False,1.63%
HKXCF,Hong Kong Exchanges and Clearing Ltd,Q1 2025  Earnings Release,TNS,,,,
BCS,Barclays PLC,Q1 2025  Earnings Release,TAS,True,False,False,6.57%
