Symbol,Company,rating,avg_volume,iv30_rv30,expected_move
NOVA,Sunnova Energy International Inc,Go,True,True,140.33%
STEM,Stem Inc,Go,True,True,37.22%
SNAP,Snap Inc,Go,True,True,19.1%
RELY,Remitly Global Inc,Go,True,True,15.45%
INCR,InterCure Ltd,Consider,False,True,229.15%
AREC,American Resources Corp,Consider,True,False,36.44%
HTLD,Heartland Express Inc,Consider,False,True,34.21%
TZOO,Travelzoo,Consider,False,True,25.4%
GORO,Gold Resource Corp,Consider,True,False,23.77%
TTGT,TechTarget Inc,Consider,False,True,21.85%
HI,Hillenbrand Inc,Consider,False,True,19.59%
EU,enCore Energy Corp,Consider,True,False,18.93%
ACMR,ACM Research Inc,Consider,True,False,16.67%
XIFR,XPLR Infrastructure LP,Consider,True,False,16.44%
GIC,Global Industrial Co,Consider,False,True,15.96%
CWH,Camping World Holdings Inc,Consider,True,False,15.31%
FRSH,Freshworks Inc,Consider,True,False,14.67%
AAT,American Assets Trust Inc,Consider,False,True,13.72%
LRN,Stride Inc,Consider,False,True,13.47%
ASTE,Astec Industries Inc,Consider,False,True,12.52%
NOA,North American Construction Group Ltd,Consider,False,True,12.04%
BHE,Benchmark Electronics Inc,Consider,False,True,11.25%
WERN,Werner Enterprises Inc,Consider,False,True,10.24%
DEA,Easterly Government Properties Inc,Consider,False,True,9.52%
FSLR,First Solar Inc,Consider,True,False,8.86%
ESRT,Empire State Realty Trust Inc,Consider,False,True,8.53%
OPCH,Option Care Health Inc,Consider,True,False,7.68%
SBUX,Starbucks Corp,Consider,True,False,7.23%
STX,Seagate Technology Holdings PLC,Consider,True,False,7.13%
CZR,Caesars Entertainment Inc,Consider,True,False,7.09%
GM,General Motors Co,Consider,True,False,5.31%
PPG,PPG Industries Inc,Consider,True,False,4.66%
XYL,Xylem Inc,Consider,True,False,4.39%
MG,Mistras Group Inc,Consider,False,True,4.28%
MSA,MSA Safety Inc,Consider,False,True,4.2%
V,Visa Inc,Consider,True,False,3.82%
MDLZ,Mondelez International Inc,Consider,True,False,3.68%
